file,Â np_patents
EP0000000.jsonl,197328
EP0100000.jsonl,216095
EP0200000.jsonl,214008
EP0300000.jsonl,212557
EP0400000.jsonl,203196
EP0500000.jsonl,192136
EP0600000.jsonl,191230
EP0700000.jsonl,191208
EP0800000.jsonl,192837
EP0900000.jsonl,189860
EP1000000.jsonl,184565
EP1100000.jsonl,185741
EP1200000.jsonl,141431
EP1300000.jsonl,177012
EP1400000.jsonl,171528
EP1500000.jsonl,169536
EP1600000.jsonl,167332
EP1700000.jsonl,167776
EP1800000.jsonl,161150
EP1900000.jsonl,165941
EP2000000.jsonl,166619
EP2100000.jsonl,166317
EP2200000.jsonl,170048
EP2300000.jsonl,166968
EP2400000.jsonl,165598
EP2500000.jsonl,164281
EP2600000.jsonl,162757
EP2700000.jsonl,160744
EP2800000.jsonl,154778
EP2900000.jsonl,148079
EP3000000.jsonl,141449
EP3100000.jsonl,131339
EP3200000.jsonl,120509
EP3300000.jsonl,107850
EP3400000.jsonl,100237
EP3500000.jsonl,18668
